,point-1,point-2,point-3,point-4,point-5,point-6,point-7,point-8,point-9,point-10,point-11,point-12,point-13,point-14,point-15,point-16,point-17,point-18,point-19,point-20,point-21,point-22,point-23,point-24,point-25,point-26,point-27,point-28,point-29,point-30,point-31,point-32,point-33,point-34,point-35,point-36,point-37,point-38,point-39,point-40,point-41,point-42,point-43,point-44,point-45,point-46,point-47,point-48,point-49,point-50
run-1,0.998,0.992,0.984,0.966,0.93,0.897,0.859,0.818,0.757,0.705,0.646,0.588,0.511,0.45,0.379,0.331,0.271,0.214,0.163,0.122,0.077,0.05,0.025,0.007,0.0,0.004,0.005,0.025,0.048,0.083,0.118,0.167,0.211,0.267,0.322,0.385,0.449,0.512,0.584,0.642,0.702,0.76,0.812,0.854,0.902,0.937,0.966,0.983,0.996,0.998
run-2,0.994,0.992,0.982,0.959,0.929,0.897,0.844,0.805,0.749,0.71,0.645,0.583,0.523,0.451,0.382,0.324,0.265,0.2,0.155,0.107,0.078,0.048,0.025,0.005,0.001,0.0,0.006,0.028,0.044,0.077,0.12,0.164,0.214,0.266,0.314,0.383,0.452,0.519,0.578,0.645,0.708,0.76,0.813,0.852,0.901,0.936,0.958,0.984,0.994,0.999
run-3,1.0,0.997,0.984,0.969,0.933,0.895,0.86,0.807,0.754,0.696,0.649,0.579,0.513,0.443,0.402,0.331,0.259,0.213,0.152,0.116,0.072,0.046,0.02,0.001,0.0,0.0,0.003,0.02,0.04,0.073,0.113,0.165,0.218,0.258,0.331,0.394,0.453,0.507,0.581,0.642,0.704,0.758,0.813,0.856,0.901,0.935,0.962,0.984,0.997,1.0
mean,0.9973333333333333,0.9936666666666666,0.9833333333333334,0.9646666666666666,0.9306666666666666,0.8963333333333333,0.8543333333333333,0.81,0.7533333333333333,0.7036666666666666,0.6466666666666666,0.5833333333333333,0.5156666666666667,0.448,0.38766666666666666,0.32866666666666666,0.265,0.209,0.15666666666666665,0.11499999999999999,0.07566666666666666,0.04800000000000001,0.023333333333333334,0.004333333333333334,0.0003333333333333333,0.0013333333333333333,0.004666666666666666,0.024333333333333335,0.044000000000000004,0.07766666666666666,0.11699999999999999,0.16533333333333333,0.21433333333333335,0.26366666666666666,0.32233333333333336,0.3873333333333333,0.45133333333333336,0.5126666666666667,0.581,0.6429999999999999,0.7046666666666667,0.7593333333333333,0.8126666666666665,0.854,0.9013333333333332,0.936,0.9620000000000001,0.9836666666666667,0.9956666666666667,0.999
error,0.0022222222222222365,0.0022222222222221997,0.000888888888888865,0.0037777777777778057,0.0015555555555555323,0.000888888888888902,0.006888888888888907,0.005333333333333301,0.002888888888888904,0.00511111111111114,0.0015555555555555323,0.0031111111111111014,0.004888888888888905,0.003333333333333336,0.009555555555555558,0.00311111111111112,0.0040000000000000036,0.005999999999999996,0.00422222222222222,0.005333333333333338,0.0024444444444444483,0.0013333333333333368,0.0022222222222222227,0.0022222222222222222,0.0004444444444444444,0.0017777777777777776,0.0011111111111111113,0.0028888888888888888,0.002666666666666669,0.003555555555555557,0.0026666666666666644,0.001111111111111109,0.0024444444444444526,0.0037777777777777874,0.005777777777777789,0.004444444444444436,0.0015555555555555507,0.004222222222222238,0.0020000000000000018,0.0013333333333332975,0.0022222222222222365,0.000888888888888902,0.0004444444444444325,0.0013333333333333346,0.0004444444444443955,0.0006666666666666673,0.002666666666666706,0.0004444444444444325,0.0011111111111110998,0.0006666666666666673
