,point-1,point-2,point-3,point-4,point-5,point-6,point-7,point-8,point-9,point-10,point-11,point-12,point-13,point-14,point-15,point-16,point-17,point-18,point-19,point-20,point-21,point-22,point-23,point-24,point-25,point-26,point-27,point-28,point-29,point-30,point-31,point-32,point-33,point-34,point-35,point-36,point-37,point-38,point-39,point-40,point-41,point-42,point-43,point-44,point-45,point-46,point-47,point-48,point-49,point-50
run-1,0.985,0.98,0.972,0.953,0.922,0.89,0.854,0.812,0.762,0.699,0.653,0.576,0.529,0.48,0.409,0.354,0.301,0.249,0.203,0.161,0.132,0.102,0.075,0.061,0.057,0.055,0.064,0.077,0.1,0.129,0.163,0.205,0.249,0.308,0.352,0.411,0.466,0.529,0.578,0.646,0.712,0.764,0.807,0.852,0.891,0.92,0.949,0.966,0.981,0.985
run-2,0.985,0.977,0.969,0.947,0.928,0.892,0.847,0.808,0.762,0.717,0.653,0.598,0.529,0.475,0.409,0.362,0.303,0.255,0.203,0.157,0.123,0.092,0.079,0.063,0.055,0.056,0.062,0.078,0.098,0.13,0.163,0.205,0.255,0.313,0.356,0.414,0.47,0.537,0.583,0.648,0.704,0.765,0.814,0.852,0.884,0.925,0.948,0.967,0.982,0.984
run-3,0.984,0.977,0.97,0.95,0.921,0.89,0.853,0.809,0.764,0.703,0.64,0.583,0.539,0.478,0.419,0.353,0.297,0.242,0.207,0.158,0.127,0.102,0.075,0.063,0.05,0.053,0.066,0.078,0.101,0.128,0.16,0.204,0.251,0.307,0.36,0.42,0.464,0.531,0.592,0.65,0.713,0.762,0.808,0.851,0.896,0.926,0.948,0.967,0.982,0.984
run-4,0.984,0.979,0.97,0.946,0.922,0.89,0.855,0.8,0.766,0.7,0.649,0.589,0.533,0.478,0.418,0.357,0.302,0.24,0.206,0.168,0.131,0.1,0.075,0.061,0.053,0.054,0.063,0.077,0.103,0.13,0.164,0.207,0.249,0.302,0.355,0.419,0.477,0.531,0.585,0.65,0.71,0.761,0.813,0.85,0.899,0.92,0.95,0.97,0.982,0.983
run-5,0.985,0.98,0.967,0.955,0.919,0.893,0.847,0.812,0.766,0.716,0.658,0.596,0.527,0.473,0.413,0.348,0.305,0.248,0.203,0.161,0.13,0.097,0.079,0.06,0.053,0.053,0.057,0.072,0.099,0.128,0.164,0.212,0.252,0.304,0.351,0.427,0.477,0.523,0.59,0.648,0.701,0.764,0.808,0.85,0.895,0.924,0.951,0.968,0.983,0.983
run-6,0.987,0.979,0.965,0.95,0.923,0.892,0.84,0.81,0.755,0.707,0.651,0.588,0.537,0.469,0.417,0.355,0.299,0.252,0.213,0.162,0.125,0.097,0.079,0.062,0.052,0.055,0.062,0.076,0.096,0.13,0.163,0.21,0.254,0.3,0.354,0.418,0.474,0.536,0.592,0.651,0.705,0.766,0.807,0.856,0.889,0.923,0.952,0.967,0.977,0.986
run-7,0.985,0.98,0.965,0.95,0.924,0.888,0.856,0.812,0.76,0.707,0.644,0.602,0.537,0.459,0.421,0.356,0.296,0.255,0.208,0.171,0.133,0.098,0.074,0.06,0.057,0.055,0.065,0.076,0.097,0.128,0.166,0.204,0.253,0.307,0.35,0.418,0.473,0.538,0.588,0.653,0.716,0.771,0.813,0.854,0.892,0.924,0.951,0.971,0.982,0.985
run-8,0.988,0.979,0.967,0.95,0.922,0.887,0.855,0.81,0.765,0.705,0.65,0.601,0.531,0.474,0.411,0.348,0.307,0.249,0.203,0.168,0.124,0.105,0.078,0.063,0.053,0.051,0.062,0.075,0.098,0.123,0.158,0.213,0.251,0.306,0.358,0.42,0.468,0.539,0.585,0.645,0.709,0.768,0.808,0.852,0.893,0.928,0.948,0.969,0.98,0.984
run-9,0.982,0.982,0.971,0.949,0.922,0.892,0.854,0.806,0.76,0.707,0.649,0.598,0.544,0.474,0.401,0.367,0.311,0.257,0.209,0.161,0.13,0.098,0.079,0.064,0.054,0.054,0.06,0.076,0.097,0.128,0.166,0.205,0.251,0.308,0.362,0.421,0.483,0.533,0.592,0.66,0.709,0.761,0.815,0.845,0.885,0.923,0.95,0.966,0.98,0.986
run-10,0.982,0.98,0.971,0.947,0.924,0.891,0.849,0.814,0.757,0.707,0.661,0.594,0.536,0.469,0.422,0.364,0.296,0.252,0.204,0.168,0.132,0.1,0.078,0.061,0.057,0.054,0.067,0.077,0.094,0.125,0.166,0.207,0.25,0.297,0.355,0.415,0.477,0.521,0.574,0.655,0.704,0.764,0.807,0.846,0.891,0.92,0.949,0.967,0.98,0.986
