,point-1,point-2,point-3,point-4,point-5,point-6,point-7,point-8,point-9,point-10,point-11,point-12,point-13,point-14,point-15,point-16,point-17,point-18,point-19,point-20,point-21,point-22,point-23,point-24,point-25,point-26,point-27,point-28,point-29,point-30,point-31,point-32,point-33,point-34,point-35,point-36,point-37,point-38,point-39,point-40,point-41,point-42,point-43,point-44,point-45,point-46,point-47,point-48,point-49,point-50
run-11,0.983,0.98,0.969,0.947,0.925,0.887,0.847,0.808,0.762,0.703,0.661,0.604,0.528,0.468,0.41,0.358,0.298,0.252,0.201,0.167,0.127,0.093,0.079,0.063,0.051,0.056,0.061,0.075,0.104,0.13,0.158,0.204,0.254,0.298,0.361,0.414,0.471,0.535,0.588,0.654,0.708,0.754,0.81,0.859,0.898,0.926,0.95,0.973,0.979,0.985
run-12,0.986,0.98,0.972,0.955,0.927,0.89,0.853,0.812,0.76,0.708,0.653,0.602,0.534,0.479,0.412,0.354,0.302,0.252,0.203,0.169,0.13,0.108,0.078,0.063,0.058,0.052,0.06,0.072,0.103,0.132,0.168,0.208,0.253,0.3,0.36,0.415,0.473,0.543,0.581,0.653,0.703,0.769,0.804,0.858,0.891,0.924,0.952,0.968,0.982,0.981
run-13,0.983,0.979,0.971,0.946,0.924,0.892,0.855,0.803,0.757,0.705,0.645,0.586,0.532,0.477,0.42,0.361,0.309,0.253,0.203,0.163,0.134,0.099,0.078,0.06,0.055,0.054,0.064,0.076,0.1,0.127,0.16,0.205,0.254,0.301,0.358,0.419,0.48,0.541,0.602,0.659,0.714,0.767,0.811,0.854,0.891,0.917,0.948,0.971,0.978,0.982
run-14,0.984,0.978,0.971,0.953,0.925,0.893,0.851,0.806,0.759,0.698,0.65,0.59,0.531,0.472,0.426,0.36,0.297,0.251,0.204,0.165,0.128,0.098,0.071,0.062,0.053,0.054,0.061,0.074,0.098,0.126,0.157,0.209,0.241,0.305,0.369,0.417,0.473,0.529,0.584,0.66,0.705,0.753,0.807,0.854,0.892,0.921,0.947,0.966,0.979,0.985
run-15,0.985,0.982,0.968,0.95,0.924,0.887,0.856,0.802,0.759,0.702,0.64,0.6,0.53,0.481,0.417,0.351,0.303,0.251,0.212,0.16,0.124,0.094,0.078,0.06,0.059,0.051,0.062,0.074,0.099,0.13,0.16,0.205,0.26,0.312,0.358,0.419,0.47,0.523,0.591,0.653,0.708,0.76,0.814,0.851,0.893,0.923,0.95,0.968,0.978,0.985
run-16,0.982,0.976,0.968,0.947,0.925,0.889,0.856,0.807,0.76,0.701,0.646,0.599,0.539,0.463,0.416,0.356,0.309,0.252,0.21,0.163,0.124,0.103,0.074,0.061,0.058,0.056,0.062,0.07,0.096,0.126,0.166,0.2,0.253,0.299,0.359,0.418,0.473,0.532,0.584,0.654,0.711,0.764,0.812,0.853,0.887,0.926,0.946,0.967,0.979,0.983
run-17,0.985,0.977,0.967,0.951,0.922,0.891,0.854,0.805,0.768,0.714,0.654,0.596,0.524,0.48,0.419,0.357,0.308,0.251,0.199,0.158,0.128,0.09,0.075,0.061,0.053,0.05,0.059,0.073,0.099,0.123,0.157,0.206,0.253,0.3,0.355,0.409,0.48,0.542,0.595,0.641,0.707,0.762,0.81,0.854,0.889,0.926,0.95,0.968,0.98,0.984
run-18,0.986,0.98,0.97,0.953,0.922,0.894,0.855,0.807,0.761,0.715,0.647,0.592,0.535,0.47,0.422,0.366,0.3,0.255,0.213,0.16,0.124,0.097,0.079,0.061,0.051,0.055,0.065,0.083,0.094,0.13,0.161,0.208,0.247,0.309,0.36,0.41,0.468,0.523,0.605,0.644,0.703,0.756,0.808,0.855,0.894,0.925,0.948,0.97,0.982,0.984
run-19,0.986,0.981,0.967,0.945,0.924,0.892,0.85,0.812,0.771,0.703,0.653,0.585,0.53,0.476,0.413,0.359,0.31,0.25,0.208,0.164,0.13,0.099,0.08,0.063,0.056,0.054,0.063,0.081,0.096,0.129,0.162,0.203,0.256,0.298,0.37,0.422,0.48,0.528,0.591,0.645,0.697,0.762,0.808,0.855,0.889,0.92,0.954,0.966,0.98,0.986
run-20,0.983,0.979,0.97,0.953,0.928,0.891,0.854,0.809,0.761,0.707,0.647,0.586,0.531,0.469,0.411,0.356,0.303,0.256,0.205,0.161,0.125,0.104,0.079,0.058,0.052,0.057,0.061,0.076,0.098,0.13,0.163,0.202,0.248,0.297,0.355,0.42,0.468,0.544,0.601,0.647,0.706,0.76,0.815,0.85,0.889,0.925,0.951,0.965,0.98,0.985
mean,0.9845,0.9792500000000001,0.9689999999999996,0.9498499999999999,0.9236500000000001,0.89055,0.85205,0.8081999999999999,0.7617499999999999,0.7062,0.6502000000000001,0.5932500000000002,0.5327999999999999,0.4732,0.41529999999999995,0.3571,0.30279999999999996,0.2511,0.20585,0.16325,0.12805000000000002,0.09880000000000001,0.07709999999999999,0.061499999999999985,0.05435000000000002,0.05395000000000002,0.06229999999999999,0.07579999999999999,0.09850000000000002,0.1281,0.16224999999999998,0.20610000000000003,0.25170000000000003,0.30355000000000004,0.35790000000000005,0.4172999999999999,0.4732499999999999,0.5329,0.58905,0.6508,0.7072499999999999,0.76265,0.8099500000000001,0.8525499999999999,0.8914,0.9233,0.9495999999999999,0.9680000000000002,0.9803,0.9842999999999998
error,0.0013499999999999957,0.0012500000000000011,0.0018000000000000683,0.0024800000000000212,0.0017849999999999977,0.0016950000000000077,0.0033350000000000046,0.002999999999999997,0.0030249999999999943,0.0043000000000000035,0.004520000000000013,0.006424999999999986,0.0038799999999999946,0.004679999999999992,0.0048700000000000045,0.004020000000000001,0.0040000000000000036,0.0028900000000000037,0.0033349999999999934,0.003400000000000003,0.002955000000000005,0.003399999999999999,0.002070000000000005,0.0012499999999999994,0.0022850000000000036,0.0013699999999999932,0.0018599999999999988,0.002140000000000002,0.0021500000000000013,0.0019000000000000017,0.002725000000000005,0.002520000000000007,0.002829999999999999,0.004350000000000004,0.0038099999999999965,0.003340000000000021,0.004199999999999973,0.005900000000000005,0.006050000000000005,0.004400000000000004,0.0037500000000000033,0.0035500000000000032,0.002749999999999969,0.002650000000000002,0.002939999999999998,0.0022700000000000055,0.001540000000000008,0.0016000000000000903,0.0013599999999999945,0.001100000000000001
