,point-1,point-2,point-3,point-4,point-5,point-6,point-7,point-8,point-9,point-10,point-11,point-12,point-13,point-14,point-15,point-16,point-17,point-18,point-19,point-20,point-21,point-22,point-23,point-24,point-25,point-26,point-27,point-28,point-29,point-30,point-31,point-32,point-33,point-34,point-35,point-36,point-37,point-38,point-39,point-40,point-41,point-42,point-43,point-44,point-45,point-46,point-47,point-48,point-49,point-50
run-1,0.002,0.008,0.016,0.034,0.07,0.103,0.141,0.182,0.243,0.295,0.354,0.412,0.489,0.55,0.621,0.669,0.729,0.786,0.837,0.878,0.923,0.95,0.975,0.993,1.0,0.996,0.995,0.975,0.952,0.917,0.882,0.833,0.789,0.733,0.678,0.615,0.551,0.488,0.416,0.358,0.298,0.24,0.188,0.146,0.098,0.063,0.034,0.017,0.004,0.002
run-2,0.006,0.008,0.018,0.041,0.071,0.103,0.156,0.195,0.251,0.29,0.355,0.417,0.477,0.549,0.618,0.676,0.735,0.8,0.845,0.893,0.922,0.952,0.975,0.995,0.999,1.0,0.994,0.972,0.956,0.923,0.88,0.836,0.786,0.734,0.686,0.617,0.548,0.481,0.422,0.355,0.292,0.24,0.187,0.148,0.099,0.064,0.042,0.016,0.006,0.001
run-3,0.0,0.003,0.016,0.031,0.067,0.105,0.14,0.193,0.246,0.304,0.351,0.421,0.487,0.557,0.598,0.669,0.741,0.787,0.848,0.884,0.928,0.954,0.98,0.999,1.0,1.0,0.997,0.98,0.96,0.927,0.887,0.835,0.782,0.742,0.669,0.606,0.547,0.493,0.419,0.358,0.296,0.242,0.187,0.144,0.099,0.065,0.038,0.016,0.003,0.0
mean,0.0026666666666666666,0.006333333333333333,0.016666666666666666,0.035333333333333335,0.06933333333333334,0.10366666666666667,0.14566666666666667,0.19000000000000003,0.24666666666666667,0.29633333333333334,0.35333333333333333,0.4166666666666667,0.4843333333333333,0.552,0.6123333333333333,0.6713333333333334,0.735,0.791,0.8433333333333333,0.8849999999999999,0.9243333333333333,0.952,0.9766666666666666,0.9956666666666667,0.9996666666666667,0.9986666666666667,0.9953333333333333,0.9756666666666667,0.956,0.9223333333333334,0.883,0.8346666666666667,0.7856666666666667,0.7363333333333334,0.6776666666666668,0.6126666666666667,0.5486666666666667,0.48733333333333334,0.419,0.357,0.2953333333333333,0.24066666666666667,0.18733333333333335,0.146,0.09866666666666668,0.064,0.038000000000000006,0.016333333333333335,0.004333333333333334,0.001
error,0.0022222222222222222,0.0022222222222222222,0.0008888888888888882,0.003777777777777778,0.0015555555555555507,0.0008888888888888927,0.006888888888888889,0.005333333333333329,0.0028888888888888944,0.005111111111111122,0.0015555555555555507,0.0031111111111111014,0.004888888888888905,0.003333333333333336,0.009555555555555576,0.0031111111111111387,0.0040000000000000036,0.006000000000000005,0.004222222222222238,0.005333333333333301,0.0024444444444444344,0.0013333333333333346,0.0022222222222221997,0.0022222222222222365,0.0004444444444444325,0.001777777777777767,0.0011111111111110998,0.002888888888888904,0.002666666666666669,0.003555555555555534,0.002666666666666669,0.0011111111111110998,0.0024444444444444344,0.0037777777777778057,0.005777777777777771,0.004444444444444436,0.0015555555555555693,0.00422222222222222,0.0020000000000000018,0.0013333333333333346,0.0022222222222222365,0.0008888888888888927,0.000444444444444451,0.0013333333333333346,0.00044444444444444176,0.0006666666666666673,0.002666666666666669,0.0004444444444444452,0.0011111111111111113,0.0006666666666666666
