,,point-1,point-2,point-3,point-4,point-5,point-6,point-7,point-8,point-9,point-10,point-11,point-12,point-13,point-14,point-15,point-16,point-17,point-18,point-19,point-20,point-21,point-22,point-23,point-24,point-25,point-26,point-27,point-28,point-29,point-30,point-31,point-32,point-33,point-34,point-35,point-36,point-37,point-38,point-39,point-40,point-41,point-42,point-43,point-44,point-45,point-46,point-47,point-48,point-49,point-50
ZERO,mean,1.0,0.9991,0.9955,0.9904,0.982,0.9712,0.9602999999999998,0.946,0.93,0.9122,0.897,0.8780000000000001,0.8604,0.8411000000000002,0.8239999999999998,0.8035,0.7888999999999999,0.7735000000000001,0.7569,0.7459,0.7333,0.7252000000000001,0.7218,0.713,0.7161000000000001,0.713,0.7149000000000001,0.7206,0.7278999999999999,0.7349999999999999,0.7485,0.7617999999999999,0.7753000000000002,0.7910000000000001,0.8074999999999999,0.8268000000000001,0.843,0.8596999999999999,0.8802999999999999,0.8994,0.9136000000000001,0.9323,0.9470999999999998,0.9620000000000001,0.9719999999999999,0.9827,0.9911999999999999,0.9960999999999999,0.9993000000000001,0.9999
ZERO,error,0.0,0.0007199999999999984,0.001100000000000001,0.0017599999999999838,0.0014000000000000013,0.0020000000000000018,0.002300000000000002,0.0014000000000000013,0.0018000000000000017,0.002400000000000002,0.0030000000000000027,0.0030000000000000027,0.0030000000000000027,0.004900000000000004,0.004200000000000026,0.0024000000000000132,0.004479999999999984,0.003300000000000003,0.004280000000000006,0.004720000000000002,0.0039000000000000033,0.0038400000000000213,0.004200000000000004,0.0038000000000000035,0.003120000000000023,0.004600000000000004,0.003100000000000003,0.004800000000000004,0.003520000000000023,0.005200000000000005,0.003200000000000014,0.0037199999999999677,0.0029000000000000024,0.0022000000000000465,0.004599999999999949,0.0032000000000000028,0.003400000000000003,0.0024399999999999865,0.0023599999999999732,0.0024799999999999935,0.0024799999999999935,0.002619999999999978,0.0028600000000000513,0.0018000000000000238,0.0018000000000000017,0.0016199999999999882,0.0014000000000000013,0.001100000000000001,0.0008399999999999852,0.00017999999999999128
ONE,run-1,0.0,0.0,0.004,0.01,0.015,0.028,0.036,0.054,0.066,0.085,0.101,0.121,0.138,0.153,0.175,0.192,0.212,0.227,0.247,0.258,0.258,0.275,0.278,0.281,0.286,0.288,0.281,0.284,0.274,0.268,0.252,0.231,0.224,0.202,0.186,0.18,0.154,0.138,0.12,0.099,0.083,0.072,0.052,0.038,0.031,0.016,0.01,0.004,0.0,0.0
ONE,run-2,0.0,0.002,0.004,0.007,0.022,0.025,0.039,0.055,0.065,0.086,0.097,0.127,0.143,0.158,0.172,0.205,0.21,0.23,0.244,0.247,0.272,0.272,0.285,0.287,0.287,0.294,0.289,0.281,0.279,0.271,0.262,0.24,0.229,0.209,0.196,0.169,0.153,0.142,0.128,0.102,0.086,0.07,0.051,0.039,0.025,0.017,0.007,0.004,0.0,0.001
ONE,run-3,0.0,0.0,0.005,0.008,0.016,0.027,0.036,0.057,0.07,0.085,0.105,0.116,0.147,0.154,0.18,0.196,0.215,0.231,0.247,0.26,0.266,0.282,0.282,0.287,0.279,0.289,0.286,0.272,0.268,0.254,0.254,0.235,0.219,0.209,0.195,0.175,0.161,0.142,0.114,0.104,0.085,0.068,0.051,0.04,0.031,0.018,0.007,0.003,0.0,0.0
ONE,run-4,0.0,0.001,0.006,0.011,0.018,0.026,0.041,0.049,0.071,0.091,0.106,0.12,0.138,0.163,0.179,0.197,0.204,0.221,0.236,0.265,0.267,0.277,0.276,0.294,0.28,0.284,0.288,0.286,0.27,0.268,0.252,0.24,0.224,0.206,0.194,0.173,0.154,0.144,0.116,0.103,0.086,0.07,0.058,0.037,0.028,0.023,0.007,0.003,0.002,0.0
ONE,run-5,0.0,0.001,0.003,0.005,0.018,0.029,0.038,0.053,0.07,0.088,0.105,0.123,0.137,0.165,0.171,0.192,0.206,0.223,0.243,0.247,0.273,0.275,0.271,0.292,0.285,0.295,0.282,0.279,0.269,0.272,0.25,0.23,0.228,0.208,0.189,0.172,0.156,0.139,0.121,0.098,0.08,0.059,0.053,0.034,0.027,0.016,0.009,0.003,0.0,0.0
ONE,run-6,0.0,0.002,0.006,0.01,0.019,0.029,0.042,0.054,0.07,0.086,0.104,0.122,0.138,0.164,0.186,0.195,0.202,0.223,0.23,0.257,0.263,0.273,0.271,0.28,0.283,0.287,0.286,0.282,0.271,0.272,0.247,0.24,0.22,0.212,0.197,0.167,0.151,0.134,0.12,0.104,0.09,0.069,0.051,0.044,0.026,0.016,0.009,0.003,0.0,0.0
ONE,run-7,0.0,0.002,0.006,0.012,0.018,0.033,0.038,0.055,0.071,0.09,0.099,0.13,0.142,0.159,0.18,0.199,0.216,0.226,0.247,0.254,0.263,0.266,0.284,0.29,0.278,0.274,0.292,0.273,0.269,0.259,0.248,0.24,0.222,0.209,0.188,0.179,0.16,0.142,0.12,0.102,0.09,0.068,0.062,0.038,0.029,0.017,0.011,0.008,0.002,0.0
ONE,run-8,0.0,0.001,0.005,0.012,0.019,0.031,0.045,0.056,0.074,0.09,0.104,0.117,0.14,0.152,0.169,0.197,0.22,0.229,0.242,0.252,0.271,0.281,0.274,0.281,0.29,0.28,0.284,0.275,0.278,0.262,0.245,0.24,0.226,0.212,0.184,0.174,0.161,0.138,0.118,0.101,0.09,0.07,0.049,0.037,0.029,0.019,0.012,0.005,0.002,0.0
ONE,run-9,0.0,0.0,0.003,0.01,0.016,0.032,0.042,0.054,0.071,0.092,0.109,0.121,0.141,0.153,0.173,0.196,0.212,0.232,0.248,0.25,0.27,0.278,0.279,0.29,0.287,0.29,0.284,0.274,0.268,0.26,0.252,0.243,0.23,0.21,0.198,0.169,0.162,0.142,0.119,0.1,0.088,0.067,0.052,0.038,0.029,0.014,0.008,0.004,0.0,0.0
ONE,run-10,0.0,0.0,0.003,0.011,0.019,0.028,0.04,0.053,0.072,0.085,0.1,0.123,0.132,0.168,0.175,0.196,0.214,0.223,0.247,0.251,0.264,0.269,0.282,0.288,0.284,0.289,0.279,0.288,0.275,0.264,0.253,0.243,0.225,0.213,0.198,0.174,0.158,0.142,0.121,0.093,0.086,0.064,0.05,0.035,0.025,0.017,0.008,0.002,0.001,0.0
ONE,mean,0.0,0.0009000000000000001,0.0045000000000000005,0.0096,0.017999999999999995,0.028800000000000003,0.0397,0.054000000000000006,0.06999999999999999,0.08779999999999998,0.10300000000000001,0.122,0.13960000000000003,0.15889999999999999,0.176,0.1965,0.21109999999999998,0.2265,0.2431,0.2541,0.2667,0.27480000000000004,0.2782,0.28700000000000003,0.28389999999999993,0.28700000000000003,0.28509999999999996,0.2794,0.27210000000000006,0.265,0.25149999999999995,0.23819999999999997,0.22470000000000004,0.209,0.19249999999999998,0.1732,0.15699999999999997,0.1403,0.1197,0.1006,0.08639999999999999,0.06770000000000001,0.0529,0.03799999999999999,0.028000000000000004,0.017300000000000003,0.008799999999999999,0.0038999999999999994,0.0007,0.0001
ONE,error,0.0,0.0007199999999999999,0.0011000000000000003,0.0017600000000000005,0.0014000000000000013,0.0020000000000000005,0.0023000000000000013,0.001400000000000002,0.001800000000000003,0.002399999999999998,0.0029999999999999944,0.003,0.0029999999999999914,0.004900000000000004,0.004199999999999998,0.0023999999999999994,0.004480000000000003,0.003300000000000003,0.004279999999999997,0.004720000000000002,0.0039000000000000033,0.0038399999999999936,0.0041999999999999815,0.0037999999999999865,0.003119999999999995,0.004599999999999982,0.0030999999999999917,0.004799999999999982,0.003520000000000012,0.005200000000000005,0.003200000000000014,0.0037200000000000067,0.0029000000000000024,0.0021999999999999993,0.0046000000000000095,0.0031999999999999945,0.003400000000000003,0.0024399999999999865,0.0023599999999999984,0.0024799999999999974,0.0024799999999999974,0.0026199999999999986,0.0028600000000000023,0.0018000000000000008,0.0018000000000000002,0.0016200000000000006,0.0013999999999999998,0.0011,0.0008399999999999999,0.00018
