,,point-1,point-2,point-3,point-4,point-5,point-6,point-7,point-8,point-9,point-10,point-11,point-12,point-13,point-14,point-15,point-16,point-17,point-18,point-19,point-20,point-21,point-22,point-23,point-24,point-25,point-26,point-27,point-28,point-29,point-30,point-31,point-32,point-33,point-34,point-35,point-36,point-37,point-38,point-39,point-40,point-41,point-42,point-43,point-44,point-45,point-46,point-47,point-48,point-49,point-50
ZERO,mean,1.0,0.9986,0.9854999999999998,0.9663999999999999,0.9371,0.9042999999999999,0.8589,0.8149999999999998,0.7585999999999999,0.7007000000000001,0.6424000000000001,0.5829999999999999,0.5168000000000001,0.44480000000000003,0.388,0.3235,0.2651,0.21150000000000002,0.1638,0.11750000000000001,0.0799,0.04959999999999999,0.024699999999999996,0.0092,0.0007,0.0007,0.007400000000000001,0.024499999999999997,0.04809999999999999,0.07579999999999999,0.11699999999999999,0.15739999999999998,0.2112,0.266,0.3235,0.38520000000000004,0.44720000000000004,0.5131000000000002,0.5747,0.64,0.6988999999999999,0.7587999999999999,0.8092,0.8554999999999999,0.9004000000000001,0.9336,0.9648,0.9846999999999999,0.9973000000000001,1.0
ZERO,error,0.0,0.0011599999999999833,0.0017000000000000014,0.001440000000000019,0.002139999999999964,0.0029000000000000024,0.003720000000000001,0.00359999999999997,0.004200000000000004,0.003700000000000003,0.0033600000000000296,0.0026000000000000246,0.005239999999999978,0.0026000000000000025,0.002400000000000002,0.0050000000000000044,0.00272,0.0033,0.003080000000000005,0.004499999999999997,0.002940000000000004,0.002119999999999997,0.002360000000000001,0.0031999999999999993,0.00098,0.00112,0.00148,0.0023999999999999994,0.0022800000000000034,0.002360000000000001,0.003999999999999997,0.0026799999999999992,0.003240000000000004,0.003400000000000003,0.005300000000000004,0.005680000000000018,0.0026000000000000025,0.004320000000000046,0.006019999999999992,0.0030000000000000027,0.005340000000000044,0.006240000000000023,0.0024399999999999865,0.004900000000000004,0.0032000000000000028,0.0026800000000000157,0.0027200000000000115,0.002560000000000018,0.0013600000000000168,0.0
ONE,run-1,0.0,0.002,0.015,0.032,0.064,0.092,0.141,0.193,0.238,0.297,0.349,0.41,0.493,0.557,0.61,0.675,0.736,0.784,0.845,0.877,0.929,0.951,0.978,0.992,1.0,1.0,0.994,0.976,0.95,0.918,0.886,0.844,0.785,0.727,0.678,0.615,0.558,0.488,0.434,0.355,0.298,0.247,0.192,0.142,0.101,0.063,0.026,0.015,0.0,0.0
ONE,run-2,0.0,0.001,0.016,0.033,0.061,0.099,0.139,0.183,0.249,0.301,0.361,0.421,0.484,0.554,0.613,0.689,0.737,0.788,0.841,0.89,0.916,0.948,0.969,0.989,0.997,1.0,0.989,0.97,0.948,0.925,0.89,0.845,0.792,0.729,0.679,0.621,0.555,0.486,0.436,0.367,0.309,0.248,0.194,0.157,0.108,0.073,0.036,0.019,0.003,0.0
ONE,run-3,0.0,0.0,0.017,0.035,0.065,0.098,0.141,0.182,0.24,0.308,0.359,0.417,0.488,0.557,0.612,0.674,0.735,0.785,0.832,0.885,0.92,0.956,0.974,0.999,1.0,1.0,0.996,0.973,0.954,0.926,0.886,0.843,0.795,0.735,0.666,0.619,0.551,0.495,0.419,0.362,0.299,0.24,0.186,0.15,0.104,0.066,0.04,0.019,0.004,0.0
ONE,run-4,0.0,0.001,0.014,0.033,0.063,0.095,0.149,0.18,0.246,0.297,0.359,0.413,0.494,0.551,0.615,0.674,0.742,0.791,0.834,0.889,0.922,0.949,0.973,0.985,0.998,0.995,0.991,0.973,0.95,0.919,0.882,0.837,0.783,0.733,0.674,0.615,0.549,0.493,0.416,0.358,0.31,0.239,0.195,0.145,0.1,0.064,0.035,0.013,0.004,0.0
ONE,run-5,0.0,0.0,0.012,0.032,0.058,0.091,0.142,0.188,0.243,0.306,0.354,0.418,0.479,0.553,0.611,0.679,0.731,0.789,0.835,0.873,0.92,0.948,0.977,0.989,1.0,1.0,0.992,0.976,0.95,0.928,0.876,0.843,0.787,0.734,0.668,0.612,0.552,0.486,0.423,0.356,0.299,0.226,0.192,0.145,0.095,0.064,0.036,0.011,0.002,0.0
ONE,run-6,0.0,0.001,0.013,0.032,0.064,0.098,0.138,0.181,0.232,0.297,0.366,0.417,0.479,0.551,0.608,0.672,0.732,0.789,0.831,0.882,0.924,0.946,0.974,0.987,1.0,0.998,0.991,0.977,0.951,0.924,0.878,0.84,0.784,0.736,0.679,0.599,0.554,0.472,0.425,0.36,0.295,0.243,0.188,0.142,0.101,0.064,0.038,0.016,0.004,0.0
ONE,run-7,0.0,0.0,0.012,0.033,0.059,0.099,0.133,0.181,0.237,0.29,0.353,0.416,0.481,0.56,0.611,0.671,0.738,0.801,0.838,0.878,0.916,0.951,0.975,0.988,0.998,1.0,0.993,0.974,0.955,0.926,0.879,0.84,0.789,0.739,0.675,0.605,0.557,0.482,0.417,0.36,0.288,0.235,0.192,0.135,0.096,0.064,0.031,0.012,0.0,0.0
ONE,run-8,0.0,0.006,0.018,0.038,0.066,0.099,0.146,0.189,0.239,0.3,0.358,0.416,0.483,0.557,0.618,0.678,0.733,0.789,0.834,0.887,0.918,0.951,0.975,0.995,1.0,1.0,0.993,0.98,0.951,0.926,0.889,0.84,0.79,0.73,0.692,0.623,0.55,0.488,0.424,0.366,0.301,0.258,0.188,0.14,0.095,0.072,0.037,0.02,0.002,0.0
ONE,run-9,0.0,0.002,0.013,0.035,0.065,0.094,0.146,0.187,0.247,0.3,0.359,0.424,0.475,0.554,0.608,0.668,0.73,0.786,0.836,0.88,0.917,0.952,0.978,0.993,1.0,1.0,0.994,0.978,0.953,0.924,0.884,0.848,0.793,0.743,0.681,0.62,0.553,0.488,0.423,0.36,0.311,0.24,0.192,0.139,0.099,0.067,0.036,0.015,0.004,0.0
ONE,run-10,0.0,0.001,0.015,0.033,0.064,0.092,0.136,0.186,0.243,0.297,0.358,0.418,0.476,0.558,0.614,0.685,0.735,0.783,0.836,0.884,0.919,0.952,0.98,0.991,1.0,1.0,0.993,0.978,0.957,0.926,0.88,0.846,0.79,0.734,0.673,0.619,0.549,0.491,0.436,0.356,0.301,0.236,0.189,0.15,0.097,0.067,0.037,0.013,0.004,0.0
ONE,mean,0.0,0.0013999999999999998,0.014500000000000002,0.033600000000000005,0.0629,0.09569999999999998,0.1411,0.185,0.24139999999999998,0.29929999999999995,0.35760000000000003,0.417,0.48319999999999996,0.5552,0.612,0.6765000000000001,0.7348999999999999,0.7885000000000001,0.8361999999999998,0.8825,0.9201000000000003,0.9503999999999999,0.9753000000000001,0.9907999999999999,0.9993000000000001,0.9993000000000001,0.9926,0.9755,0.9519,0.9242000000000001,0.883,0.8425999999999998,0.7888,0.734,0.6765000000000001,0.6148,0.5528000000000001,0.4868999999999999,0.4252999999999999,0.36,0.30110000000000003,0.2412,0.1908,0.14450000000000002,0.0996,0.06639999999999999,0.035199999999999995,0.015300000000000003,0.0027,0.0
ONE,error,0.0,0.0011599999999999998,0.0016999999999999997,0.0014400000000000016,0.002140000000000002,0.0029000000000000024,0.0037199999999999954,0.0036000000000000034,0.004200000000000001,0.003700000000000003,0.0033599999999999854,0.0026000000000000025,0.00524,0.0026000000000000025,0.002400000000000002,0.0050000000000000044,0.0027200000000000223,0.003300000000000003,0.0030799999999999495,0.004500000000000004,0.002940000000000087,0.0021200000000000108,0.0023600000000000175,0.0032000000000000028,0.0009799999999999698,0.0011199999999999544,0.0014799999999999924,0.002399999999999991,0.0022800000000000042,0.0023599999999999845,0.0040000000000000036,0.002680000000000038,0.0032400000000000206,0.003400000000000003,0.005299999999999994,0.005679999999999996,0.0026000000000000025,0.0043200000000000235,0.00601999999999997,0.0030000000000000027,0.005340000000000023,0.006240000000000004,0.0024400000000000034,0.004899999999999996,0.0032,0.002679999999999996,0.0027200000000000006,0.0025600000000000006,0.0013599999999999997,0.0
