,point-1,point-2,point-3,point-4,point-5,point-6,point-7,point-8,point-9,point-10,point-11,point-12,point-13,point-14,point-15,point-16,point-17,point-18,point-19,point-20,point-21,point-22,point-23,point-24,point-25,point-26,point-27,point-28,point-29,point-30,point-31,point-32,point-33,point-34,point-35,point-36,point-37,point-38,point-39,point-40,point-41,point-42,point-43,point-44,point-45,point-46,point-47,point-48,point-49,point-50
run-1,0.0,0.0,0.004,0.01,0.015,0.028,0.036,0.054,0.066,0.085,0.101,0.121,0.138,0.153,0.175,0.192,0.212,0.227,0.247,0.258,0.258,0.275,0.278,0.281,0.286,0.288,0.281,0.284,0.274,0.268,0.252,0.231,0.224,0.202,0.186,0.18,0.154,0.138,0.12,0.099,0.083,0.072,0.052,0.038,0.031,0.016,0.01,0.004,0.0,0.0
run-2,0.0,0.002,0.004,0.007,0.022,0.025,0.039,0.055,0.065,0.086,0.097,0.127,0.143,0.158,0.172,0.205,0.21,0.23,0.244,0.247,0.272,0.272,0.285,0.287,0.287,0.294,0.289,0.281,0.279,0.271,0.262,0.24,0.229,0.209,0.196,0.169,0.153,0.142,0.128,0.102,0.086,0.07,0.051,0.039,0.025,0.017,0.007,0.004,0.0,0.001
run-3,0.0,0.0,0.005,0.008,0.016,0.027,0.036,0.057,0.07,0.085,0.105,0.116,0.147,0.154,0.18,0.196,0.215,0.231,0.247,0.26,0.266,0.282,0.282,0.287,0.279,0.289,0.286,0.272,0.268,0.254,0.254,0.235,0.219,0.209,0.195,0.175,0.161,0.142,0.114,0.104,0.085,0.068,0.051,0.04,0.031,0.018,0.007,0.003,0.0,0.0
run-4,0.0,0.001,0.006,0.011,0.018,0.026,0.041,0.049,0.071,0.091,0.106,0.12,0.138,0.163,0.179,0.197,0.204,0.221,0.236,0.265,0.267,0.277,0.276,0.294,0.28,0.284,0.288,0.286,0.27,0.268,0.252,0.24,0.224,0.206,0.194,0.173,0.154,0.144,0.116,0.103,0.086,0.07,0.058,0.037,0.028,0.023,0.007,0.003,0.002,0.0
run-5,0.0,0.001,0.003,0.005,0.018,0.029,0.038,0.053,0.07,0.088,0.105,0.123,0.137,0.165,0.171,0.192,0.206,0.223,0.243,0.247,0.273,0.275,0.271,0.292,0.285,0.295,0.282,0.279,0.269,0.272,0.25,0.23,0.228,0.208,0.189,0.172,0.156,0.139,0.121,0.098,0.08,0.059,0.053,0.034,0.027,0.016,0.009,0.003,0.0,0.0
run-6,0.0,0.002,0.006,0.01,0.019,0.029,0.042,0.054,0.07,0.086,0.104,0.122,0.138,0.164,0.186,0.195,0.202,0.223,0.23,0.257,0.263,0.273,0.271,0.28,0.283,0.287,0.286,0.282,0.271,0.272,0.247,0.24,0.22,0.212,0.197,0.167,0.151,0.134,0.12,0.104,0.09,0.069,0.051,0.044,0.026,0.016,0.009,0.003,0.0,0.0
run-7,0.0,0.002,0.006,0.012,0.018,0.033,0.038,0.055,0.071,0.09,0.099,0.13,0.142,0.159,0.18,0.199,0.216,0.226,0.247,0.254,0.263,0.266,0.284,0.29,0.278,0.274,0.292,0.273,0.269,0.259,0.248,0.24,0.222,0.209,0.188,0.179,0.16,0.142,0.12,0.102,0.09,0.068,0.062,0.038,0.029,0.017,0.011,0.008,0.002,0.0
run-8,0.0,0.001,0.005,0.012,0.019,0.031,0.045,0.056,0.074,0.09,0.104,0.117,0.14,0.152,0.169,0.197,0.22,0.229,0.242,0.252,0.271,0.281,0.274,0.281,0.29,0.28,0.284,0.275,0.278,0.262,0.245,0.24,0.226,0.212,0.184,0.174,0.161,0.138,0.118,0.101,0.09,0.07,0.049,0.037,0.029,0.019,0.012,0.005,0.002,0.0
run-9,0.0,0.0,0.003,0.01,0.016,0.032,0.042,0.054,0.071,0.092,0.109,0.121,0.141,0.153,0.173,0.196,0.212,0.232,0.248,0.25,0.27,0.278,0.279,0.29,0.287,0.29,0.284,0.274,0.268,0.26,0.252,0.243,0.23,0.21,0.198,0.169,0.162,0.142,0.119,0.1,0.088,0.067,0.052,0.038,0.029,0.014,0.008,0.004,0.0,0.0
run-10,0.0,0.0,0.003,0.011,0.019,0.028,0.04,0.053,0.072,0.085,0.1,0.123,0.132,0.168,0.175,0.196,0.214,0.223,0.247,0.251,0.264,0.269,0.282,0.288,0.284,0.289,0.279,0.288,0.275,0.264,0.253,0.243,0.225,0.213,0.198,0.174,0.158,0.142,0.121,0.093,0.086,0.064,0.05,0.035,0.025,0.017,0.008,0.002,0.001,0.0
